7650 350.000000    43.437668 5.216000
7335 340.000000    46.593834 0.314333
7690 330.000000    43.648834 7.209000
7168 320.000000    48.324669 4.020000
7747 310.000000    42.737167 2.872833
7117 310.000000    48.825832 -3.473167
7630 300.000000    43.620998 1.378833
61996 270.000000    -37.795166 77.569168
7558 260.000000    44.118500 3.019500
7181 260.000000    48.581001 5.959833
61998 240.000000    -49.352333 70.243332
7434 220.000000    45.861168 1.175000
71805 210.000000    46.766335 -56.179169
7110 210.000000    48.444168 -4.412000
7027 200.000000    49.180000 -0.456167
7020 200.000000    49.725166 -1.939833
7015 190.000000    50.570000 3.097500
7510 180.000000    44.830666 -0.691333
7280 180.000000    47.267834 5.088333
61970 170.000000    -17.054667 42.712002
7627 160.000000    43.005333 1.106833
7481 160.000000    45.726501 5.077833
61972 150.000000    -22.344168 40.340668
89642 120.000000    -66.663170 140.001007
81405 100.000000    4.822333 -52.365334
61980 90.000000    -20.892500 55.528667
81408 80.000000    3.890667 -51.804668
7761 60.000000    41.917999 8.792667
78925 30.000000    14.595333 -60.995667
7621 30.000000    43.188000 0.000000
7207 30.000000    47.294334 -3.218333
7577 10.000000    44.581165 4.733000
7314 10.000000    46.046833 -1.411500
7222 10.000000    47.150002 -1.608833
7149 10.000000    48.716831 2.384333
7607 0.000000    43.909832 -0.500167
